NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
PTG02086;PLASTILAGO;PTG-S-02;ESTUDIO SOBRE EL SEGMENTO SOPLADO, CENSO DE MAQUINARIAS Y CONSUMOS PARA 1986 Y 1987;"QUINTERO, NICOLAS; PANACCI, ANTONIO";;;ESTUDIO SOBRE EL SEGMENTO SOPLADO, CENSO DE MAQUINARIAS Y CONSUMOS PARA 1986 Y 1987;INFORME TECNICO;1986;ESTUDIO SOBRE EL SEGMENTO SOPLADO, CENSO DE MAQUINARIAS Y CONSUMOS PARA 1986 Y 1987;INFORMES/PLASTILAGO/1986/IN02086.PDF;
PTG02186;PLASTILAGO;PTG-S-02;ESTUDIO SOBRE EL SEGMENTO INYECCION CENSO DE MAQUINARIAS Y COSNUMO PARA 1986 Y 1987;"QUINTERO, NICOLAS; PANACCI, ANTONIO";;;ESTUDIO SOBRE EL SEGMENTO INYECCION CENSO DE MAQUINARIAS Y COSNUMO PARA 1986 Y 1987;INFORME TECNICO;1986;ESTUDIO SOBRE EL SEGMENTO INYECCION CENSO DE MAQUINARIAS Y COSNUMO PARA 1986 Y 1987;INFORMES/PLASTILAGO/1986/IN02186.PDF;
PTG02286;PLASTILAGO;PTG-S-02;ESTUDIO DE INVESTIGACION DE MERCADO DEL SEGMENTO TUBERIA PARA 1986;PANACCI, ANTONIO;;;ESTUDIO DE INVESTIGACION DE MERCADO DEL SEGMENTO TUBERIA PARA 1986;INFORME TECNICO;1986;ESTUDIO DE INVESTIGACION DE MERCADO DEL SEGMENTO TUBERIA PARA 1986;INFORMES/PLASTILAGO/1986/IN02286.PDF;
PTG02386;PLASTILAGO;PTG-S-02;EVALUACION DEL EFECTO DE LA HISTORIA DE ESTERILIZACION SOBRE LOS ENVASES FABRICADOS CON ALTAVEN 6200B;QUINTERO, NICOLAS;;;EVALUACION DEL EFECTO DE LA HISTORIA DE ESTERILIZACION SOBRE LOS ENVASES FABRICADOS CON ALTAVEN 6200B;INFORME TECNICO;1986;EVALUACION DEL EFECTO DE LA HISTORIA DE ESTERILIZACION SOBRE LOS ENVASES FABRICADOS CON ALTAVEN 6200B;INFORMES/PLASTILAGO/1986/IN02386.PDF;
PTG02486;PLASTILAGO;PTG;INVERSION REQUERIDA Y DOTACIONDE INFRAESTRUCTURA PARA LA SINTESIS DE PEAD;RINCON, LUIS;;;INVERSION REQUERIDA Y DOTACIONDE INFRAESTRUCTURA PARA LA SINTESIS DE PEAD;INFORME TECNICO;1986;INVERSION REQUERIDA Y DOTACIONDE INFRAESTRUCTURA PARA LA SINTESIS DE PEAD;INFORMES/PLASTILAGO/1986/IN02486.PDF;
PTG02587;PLASTILAGO;PTG-I-03;ESTUDIO DE COMERCIALIZACION DE BAJOS POLIMEROS. REPORTE DE AVANCE 1987;GONZALEZ, HUMBERTO;;;ESTUDIO DE COMERCIALIZACION DE BAJOS POLIMEROS. REPORTE DE AVANCE 1987;INFORME TECNICO;1987;ESTUDIO DE COMERCIALIZACION DE BAJOS POLIMEROS. REPORTE DE AVANCE 1987;INFORMES/PLASTILAGO/1987/IN02587.PDF;
PTG02687;PLASTILAGO;PTG-I-03;PURIFICACION DE LOS BAJOS POLIMEROS DE PLASTICOS DEL LAGO, C.A. A ESCALA LABORATORIO;MARIN, JULIA;;;PURIFICACION DE LOS BAJOS POLIMEROS DE PLASTICOS DEL LAGO, C.A. A ESCALA LABORATORIO;INFORME TECNICO;1987;PURIFICACION DE LOS BAJOS POLIMEROS DE PLASTICOS DEL LAGO, C.A. A ESCALA LABORATORIO;INFORMES/PLASTILAGO/1987/IN02687.PDF;
PTG02787;PLASTILAGO;PTG-I-03;OPTIMIZACION DE PARAMETROS EXPERIMENTALES PARA LA DETERMINACION DE LA VISCOSIDAD INTRINSECA EN CERAS DE POLIETILENO;"REVEROL, JORGE; BOSCAN, NEIDA; CALDERON, PEDRO";;;OPTIMIZACION DE PARAMETROS EXPERIMENTALES PARA LA DETERMINACION DE LA VISCOSIDAD INTRINSECA EN CERAS DE POLIETILENO;INFORME TECNICO;1987;OPTIMIZACION DE PARAMETROS EXPERIMENTALES PARA LA DETERMINACION DE LA VISCOSIDAD INTRINSECA EN CERAS DE POLIETILENO;INFORMES/PLASTILAGO/1987/IN02787.PDF;
PTG02887;PLASTILAGO;PTG;SIMULACION COMPUTARIZADA DEL PROCESO DE EXTRUSION. PARTE I: ESTUDIO PRELIMINAR;"TRUJILLO, NARKYS; GUASTAFERRO, FRANCO";;;SIMULACION COMPUTARIZADA DEL PROCESO DE EXTRUSION. PARTE I: ESTUDIO PRELIMINAR;INFORME TECNICO;1987;SIMULACION COMPUTARIZADA DEL PROCESO DE EXTRUSION. PARTE I: ESTUDIO PRELIMINAR;INFORMES/PLASTILAGO/1987/IN02887.PDF;
PTG02987;PLASTILAGO;PTG-S-02;INCIDENCIA DEL COSTO DE LAS RESINAS DE PEAD ALTAVEN EN EL P.V.P. DE LOS PRODUCTOS TERMINADOS;SOTO, WILLIANS;;;INCIDENCIA DEL COSTO DE LAS RESINAS DE PEAD ALTAVEN EN EL P.V.P. DE LOS PRODUCTOS TERMINADOS;INFORME TECNICO;1987;INCIDENCIA DEL COSTO DE LAS RESINAS DE PEAD ALTAVEN EN EL P.V.P. DE LOS PRODUCTOS TERMINADOS;INFORMES/PLASTILAGO/1987/IN02987.PDF;
PTG03087;PLASTILAGO;PTG-S-02;EVALUACION DE LAS PROPIEDADES FISICAS Y PROCESABILIDAD DEL POLIETILENO DE ALTA DENSIDAD ALTAVEN 3200B;"DELGADO, ANDRES; ANGULO, JUAN";;;EVALUACION DE LAS PROPIEDADES FISICAS Y PROCESABILIDAD DEL POLIETILENO DE ALTA DENSIDAD ALTAVEN 3200B;INFORME TECNICO;1987;EVALUACION DE LAS PROPIEDADES FISICAS Y PROCESABILIDAD DEL POLIETILENO DE ALTA DENSIDAD ALTAVEN 3200B;INFORMES/PLASTILAGO/1987/IN03087.PDF;
PTG03188;PLASTILAGO;PTG-I-03;ESTUDIO DE COMERCIALIZACION DE BAJOS POLIMEROS. ESTUDIO DEL MERCADO DE CERAS POLIETILENICAS;BELLINI, FRANCO;;;ESTUDIO DE COMERCIALIZACION DE BAJOS POLIMEROS. ESTUDIO DEL MERCADO DE CERAS POLIETILENICAS;;1988;ESTUDIO DE COMERCIALIZACION DE BAJOS POLIMEROS. ESTUDIO DEL MERCADO DE CERAS POLIETILENICAS;iNFORMES/PLASTILAGO/1988/IN03188.PDF;
PTG03288;PLASTILAGO;PTG-I-05;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION DEL PEAD ALTAVEN 7000F;"MENDEZ, FACUNDO; TRUJILLO, NARKYS";;;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION DEL PEAD ALTAVEN 7000F;;1988;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION DEL PEAD ALTAVEN 7000F;INFORMES/PLASTILAGO/1988/IN03288.PDF;
PTG03388;PLASTILAGO;PTG-S-02;PEAD, PRODUCTOS, CONSUMO, LECHE, COMERCIO, INDUSTRIA, BOLSAS, ALIMENTOS, AGRICULTURA, PE, CONTENIDO, CAPACIDAD, PESO, PRECIO, INCIDENCIA,;"NU•EZ, PEDRO; RUIBAL, IGNACIO";;;ESTUDIO DE LA INFLUENCIA DEL PRECIO DE POLIETILENO DE ALTA DENSIDAD (ALTAVEN)SOBRE EL PVP DEL PRODUCTO TERMINADO;;1988;DETERMINAR LA INCIDENCIA DEL COSTO DE LA ERSINA DE POLIETILENO DE ALTA DENSIDAD ALTAVEN QUE CONSTITUYE O FORMA PARTE DE UN PRODUCTO DETERMINADO.;INFORMES/PLASTILAGO/1988/IN03388.PDF;
PTG03488;PLASTILAGO;PTG-S-02;EVALUACION DE LAS PROPIEDADES VISCOELASTICAS DE LOS DIFERENTES GRADOS DE PEAD ALTAVEN (REOMETRIA DE HAN);"MORENO, HECTOR; PI•ERO, RICARDO";;;EVALUACION DE LAS PROPIEDADES VISCOELASTICAS DE LOS DIFERENTES GRADOS DE PEAD ALTAVEN (REOMETRIA DE HAN);;1988;EVALUACION DE LAS PROPIEDADES VISCOELASTICAS DE LOS DIFERENTES GRADOS DE PEAD ALTAVEN (REOMETRIA DE HAN);INFORMES/PLASTILAGO/1988/IN03488.PDF;
PTG03589;PLASTILAGO;PTG-I-02;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION DEL PEAD ALTAVEN 6100M;"DELGADO, ANDRES; CHIRINOS, ALFONSO";;;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION DEL PEAD ALTAVEN 6100M;;1989;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION DEL PEAD ALTAVEN 6100M;INFORMES/PLASTILAGO/1989/IN03589.PDF;
PTG03689;PLASTILAGO;PTG-S-01;EVALUACION, SUPLIDORES NACIONALES, ESTEARATO DE CALCIO,;VELASQUEZ, SANDRA;;;EVALUACION DE SUPLIDORES NACIONALES DE ESTEARATO DE CALCIO;INFORME TECNICO;1989;EVALUACION DE SUPLIDORES NACIONALES DE ESTEARATO DE CALCIO;INFORMES/PLASTILAGO/1989/IN03689.PDF;
PTG03789;PLASTILAGO;PTG-S-01;EVALUACION INTERLABORATORIOS METODOS DE DETERMINACION DE LAS PROPIEDADES INDICE DE FLUIDEZ Y DENSIDAD A 23 GRADOS CENTIGRADOS;VELASQUEZ, SANDRA;;;EVALUACION INTERLABORATORIOS METODOS DE DETERMINACION DE LAS PROPIEDADES INDICE DE FLUIDEZ Y DENSIDAD A 23 GRADOS CENTIGRADOS;INFORME TECNICO;1989;EVALUACION INTERLABORATORIOS METODOS DE DETERMINACION DE LAS PROPIEDADES INDICE DE FLUIDEZ Y DENSIDAD A 23 GRADOS CENTIGRADOS;INFORMES/PLASTILAGO/1989/IN03789.PDF;
PTG03888;PLASTILAGO;PTG-S-01;SIMULACION COMPUTADORIZADA DEL PROCESO DE EXTRUSION;GUASTAFERRO, FRANCO;;;SIMULACION COMPUTADORIZADA DEL PROCESO DE EXTRUSION;;1988;SIMULACION COMPUTADORIZADA DEL PROCESO DE EXTRUSION;INFORMES/PLASTILAGO/1988/IN03888.PDF;
PTG03989;PLASTILAGO;PTG;AGENTES ANTIESTATICOS PARA PEAD;LOSADA, GISELA;;;AGENTES ANTIESTATICOS PARA PEAD;;1989;AGENTES ANTIESTATICOS PARA PEAD;INFORMES/PLASTILAGO/1989/IN03989.PDF;
PTG04090;PLASTILAGO;PTG-I-01;EVALUACION, AGENTE L55-R,  ESTABILIZANTE, TERMO-OXIDATIVO, PEAD, ALTAVEN, 6100 M,;INDESCA;;;EVALUACION DEL AGENTE L55-R COMO ESTABILIZANTE TERMO-OXIDATIVO EN PEAD ALTAVEN 6100 M;INFORME TECNICO;1990;EVALUACION DEL AGENTE L55-R COMO ESTABILIZANTE TERMO-OXIDATIVO EN PEAD ALTAVEN 6100 M;INFORMES/PLASTILAGO/1990/IN04091.PDF;
PTG04190;PLASTILAGO;PTG-S-01;ASISTENCIA TECNICA, PLANTA, INDICE DE PSEUDOPLASTICIDAD,;CHIRINOS, ALFONSO;;;INDICE DE PSEUDOPLASTICIDAD;INFORME TECNICO;1990;ASISTENCIA TECNICA A LA PLANTA. INDICE DE PSEUDOPLASTICIDAD;INFORMES/PLASTILAGO/1990/IN04190.PDF;
PTG04290;PLASTILAGO;PTG-S-01;EVALUACION, PEAD, ALTAVEN, 6500F, 7000F, EXTRUSION, ELICULA TUBULAR,;"SOTO, GUSTAVO; MORENO, HECTOR";;;EVALUACION COMPARATIVA DE LOS PEAD ALTAVEN 6500 F - 7000 F. EXTRUSION DE PELICULA TUBULAR;INFORME TECNICO;1990;EVALUACION COMPARATIVA DE LOS PEAD ALTAVEN 6500 F - 7000 F. EXTRUSION DE PELICULA TUBULAR;INFORMES/PLASTILAGO/1990/IN04290.PDF;
PTG04390;PLASTILAGO;PTG-S-02;ESTUDIO, PEAD, GRADOS,  TUBERIA,;DELGADO, ANDRES;;;ESTUDIO COMPARATIVO DE PEAD GRADOS PARA TUBERIA OFRECIDOS A NIVEL MUNDIAL;INFORME TECNICO;1990;ESTUDIO COMPARATIVO DE PEAD GRADOS PARA TUBERIA OFRECIDOS A NIVEL MUNDIAL;INFORMES/PLASTILAGO/1990/IN04390.PDF;
PTG04491;PLASTILAGO;;RECICLADO, PE, ALTAVEN, DESECHOS,;DE LA OLIVA, JOSE;;;RECICLADO DEL POLIETILENO DE ALTA DENSIDAD ALTAVEN;INFORME TECNICO;1991;"EL CRECIMIENTO EXPONENCIAL DE LA INDUSTRIA DE LOS PLASTICOS, TIENE SU ORIGEN EN EL ALTO GRADO DE APLICABILIDAD DE ESTOS MATERIALES, EN CUALQUIER AMBITO DEL MUNDO DE HOY. 
ENTRE LOS INNUMERABLES BENEFICIOS QUE HAN APORTADO LOS MATERIALES PLASTICOS, QUIZAS EL QUE MAYORES PROBLEMAS HA SOLVENTADO, ES LA CAPACIDAD QUE ESTOS MATERIALES POSEEN DE ENVASAR Y CONSERVAR PRODUCTOS ALIMENTICIOS, POR LO QUE, SUMADO AL SISTEMA DE REFRIGERACION ACTUAL, SON RESPONSABLES DE LA DRAMATICA REUDUCCION EN EL VOLUMEN DE RESIDUOS ALIMENTICIOS; DEBIDO A LAS CARACTERISTICAS PROPIAS DE HIGIENE Y DURACION. SE HA ESTIMADO QUE, EN AUSENCIA DE ENVASES PLASTICOS, EL PESO DELOS RESIDUOS SOLIDOS PODRIA LLEGAR A SER 400% MAS ALTO QUE EL ACTUAL. DE AQUI SE DESPRENDE QUE EL USO DE ENVASES PLASTICOS HA DADO COMO RESULTADO UN AHORRO ENERGETICO AL 20%, Y UN AHORRO ECONOMICO DEL 210%. 
POR OTRO LADO, LA SUSTITUCION DEL VIDRIO POR EL PLSTICO, COMO  MATERIAL DE ENVASE EN MUCHAS APPLICACIONES, HA TRAIDO COMO CONSECUENCIA LA DISMINUCION DE CORTES Y LACERACIONES SEVERAS EN PARTES DEL CUERPO HUMANO. ESTO, EVIDENTEMENTE, CONSTITUYE UNA BENTAJA MAS EN EL USO DEL PLASTICO SOBRE CUALQUIER OTRO MATERIAL EN LA INDUSTRIA DEL EMPAQUE.
SIN EMBARGO, A PESAR DE HABER REDUCIDO LA CANTIDAD DE RESIDUOS SOLIDOS, TODAVIA SON PRODUCIDOS Y DESECHADOS. ESTO TRAE SERIOS INCONVENIENTES RELACIONADOS CON PROBLEMAS DE CONTAMINACION Y DE UBICACION, DEBIDO A LA NO DEGRADABILIDAD DE LOS  MATERIALES PLASTICOS Y A LA FALTA DE ESPACIO PARA DEPOSITARLOS.";INFORMES/PLASTILAGO/1991/IN04491.PDF;
PTG04591;PLASTILAGO;PTG-I-02;CATALISIS, POLIMERIZACION, OLEFINAS, ZIEGLER NATTA,;GONZALEZ, EDGAR;;;"LA CATALISIS COORDINATIVA EN LA POLIMERIZACION DE OLEFINAS ""CATALISIS ZIEGLER NATTA""";INFORME TECNICO;1991;"LA CATALISIS COORDINATIVA EN LA POLIMERIZACION DE OLEFINAS ""CATALISIS ZIEGLER NATTA""";INFORMES/PLASTILAGO/1991/IN04591.PDF;
PTG04691;PLASTILAGO;PTG-I-04;DISE•O, PUESTA EN MARCHA, LABORATORIO, CATALIZADORES, ZIEGLER-NATTA,  POLIMERIZACION, ETILENO,;"GONZALEZ, EDGAR; PORTILLO RICARDO; BOSCAN, NEIDA";;;"DISE•O Y PUESTA EN MARCHA, DEL LABORATORIO PARA ESTUDIO DE CATALIZADORES TIPO ""ZIEGLER-NATTA"" POR POLIMERIZACION DE ETILENO A NIVEL MICROPILOTO. INFORME FINAL";INFORME TECNICO;1991;"DISE•O Y PUESTA EN MARCHA, DEL LABORATORIO PARA ESTUDIO DE CATALIZADORES TIPO ""ZIEGLER-NATTA"" POR POLIMERIZACION DE ETILENO A NIVEL MICROPILOTO. INFORME FINAL";INFORMES/PLASTILAGO/1991/IN04691.PDF;
PTG04791;PLASTILAGO;PTG-I-06;EXTRUS 4, SIMULACION,;INDESCA;;;EXTRUS 4 PAQUETE DE SIMULACION. MANUAL DE OPERACION Y GUIA DE USUARIO;INFORME TECNICO;1991;EXTRUS 4 PAQUETE DE SIMULACION. MANUAL DE OPERACION Y GUIA DE USUARIO;INFORMES/PLASTILAGO/1991/IN04791.PDF;
PTG04891;PLASTILAGO;PTG-S-01;OPTIMIZACION, ESTABILIZACION, PEAD,  ALTAVEN, 2208J,;CAPRIULO, FRANCESCO;;;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION A LA LUZ DEL PEAD ALTAVEN 2208J;INFORME TECNICO;1991;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION A LA LUZ DEL PEAD ALTAVEN 2208J;INFORMES/PLASTILAGO/1991/04891.PDF;
PTG04991;PLASTILAGO;PTG-S-01;EVALUACION, TORNILLO,  PLASTILAGO,;UNIDAD DE DESARROLLO DE APLICACIONES;;;EVALUACION TORNILLO PLASTILAGO;INFORME TECNICO;1991;EVALUACION TORNILLO PLASTILAGO;INFORMES/PLASTILAGO/1991/IN04991.PDF;
PTG05091;PLASTILAGO;PTG-S-02;CATALOGOS TECNICOS,  PROCESO, PEAD, ALTAVEN,;DE LA OLIVA, JOSE;;;CATALOGOS TECNICOS POR PROCESO. PEAD ALTAVEN;INFORME TECNICO;1991;CATALOGOS TECNICOS POR PROCESO. PEAD ALTAVEN;INFORMES/PLASTILAGO/1991/IN05091.PDF;
PTG05191;PLASTILAGO;PTG-S-02;PROPIEDADES REOLOGICAS, PROPIEDADES TERMICAS,;DEPARTAMENTO DE APLICACIONES;;;PROPIEDADES REOLOGICAS Y TERMICAS;INFORME TECNICO;1991;PROPIEDADES REOLOGICAS Y TERMICAS;INFORMES/PLASTILAGO/1991/IN05191.PDF;
PTG05291;PLASTILAGO;PTG;ESTUDIO, MERCADO, INSUMOS INDUSTRIALES,;GONZALEZ, LUIS;;;ESTUDIO DE MERCADO DE INSUMOS INDUSTRIALES;INFORME TECNICO;1991;ESTUDIO DE MERCADO DE INSUMOS INDUSTRIALES;INFORMES/PLASTILAGO/1991/IN05291.PDF;
PTG05391;PLASTILAGO;PTG;OPTIMIZACION, EXTRUSION,  PLASTILAGO,;UNIDAD DE DESARROLLO DE APLICACIONES;;;OPTIMIZACION DEL PROCESO DE EXTRUSION DE PLASTILAGO. SEGUNDO INFORME DE AVANCE;INFORME TECNICO;1991;OPTIMIZACION DEL PROCESO DE EXTRUSION DE PLASTILAGO. SEGUNDO INFORME DE AVANCE;INFORMES/PLASTILAGO/1991/IN05391.PDF;
PTG05491;PLASTILAGO;PTG;ESTUDIO DE VARIABILIDAD DEL MONTAJE DEL LABORATORIO PARA EL ANALISIS CINETICO DE CATALIZADORES DEL TIPO ZIEGLER NATTA;"GONZALEZ, EDGAR; PORTILLO, RICARDO; BOSCAN, NEIDA";;;ESTUDIO DE VIABILIDAD DEL MONTAJE DEL LABORATORIO PARA EL ANALISIS CINETICO DE CATALIZADORES DEL TIPO ZIEGLER NATTA;INFORME TECNICO;1991;ESTUDIO DE VARIABILIDAD DEL MONTAJE DEL LABORATORIO PARA EL ANALISIS CINETICO DE CATALIZADORES DEL TIPO ZIEGLER NATTA;INFORMES/PLASTILAGO/1991/IN05491.PDF;
PTG05692;PLASTILAGO;PTG-I-01-01;ESPECIFICACIONES, BIDONES,  CAPACIDAD,;UNIDAD DE ANALISIS TERMOMECANICOS;;;ESPECIFICACIONES PARA BIDONES DE CAPACIDAD SUPERIOR A 10 LITROS;INFORME TECNICO;1992;ESPECIFICACIONES PARA BIDONES DE CAPACIDAD SUPERIOR A 10 LITROS;INFORMES/PLASTILAGO/1992/IN05692.PDF;
PTG05792;PLASTILAGO;PTG-I-01-01;RESULTADOS, MATERIALES,  METODOS, EVALUACION,  RECUBRIMIENTO, LAGUNAS,  DESECHOS QUIMICOS,;UNIDAD DE ANALISIS TERMOMECANICOS;;;RESULTADOS DE MATERIALES Y METODOS DE EVALUACION PARA RECUBRIMIENTO DE LAGUNAS DE DESECHOS QUIMICOS;INFORME TECNICO;1992;RESULTADOS DE MATERIALES Y METODOS DE EVALUACION PARA RECUBRIMIENTO DE LAGUNAS DE DESECHOS QUIMICOS;INFORMES/PLASTILAGO/1992/IN05792.PDF;
PTG05892;PLASTILAGO;PTG-I-01-01;RESUMEN, BUSQUEDA,  INFORMACION EN LINEA, ENVASES, ACEITE DE MOTOR,;INDESCA;;;RESUMEN DE LA BUSQUEDA DE INFORMACION EN LINEA SOBRE ENVASES PARA ACEITE DE MOTOR;INFORME TECNICO;1992;RESUMEN DE LA BUSQUEDA DE INFORMACION EN LINEA SOBRE ENVASES PARA ACEITE DE MOTOR;INFORMES/PLASTILAGO/1992/IN05892.PDF;
PTG05992;PLASTILAGO;PTG-I-01-01;PROPIEDADES FISICAS,  ENVASES, PEAD,;UNIDAD DE ANALISIS TERMOMECANICOS;;;PROPIEDADES FISICAS A ENVASES DE PEAD;INFORME TECNICO;1992;PROPIEDADES FISICAS A ENVASES DE PEAD;INFORMES/PLASTILAGO/1992/IN05992.PDF;
PTG06092;PLASTILAGO;PTG-I-03;ESTUDIO, MERCADO, BAJOS POLIMEROS, PLASTILAGO;VILLALOBOS, SONIA;;;ACTUALIZACION DEL ESTUDIO DE MERCADO DE LOS BAJOS POLIMEROS DE PLASTILAGO;INFORME TECNICO;1992;ACTUALIZACION DEL ESTUDIO DE MERCADO DE LOS BAJOS POLIMEROS DE PLASTILAGO;INFORMES/PLASTILAGO/1992/IN06092.PDF;
PTG06192;PLASTILAGO;PTG-I-05-01;EVALUACION EXPERIMENTAL,  PEAD, 7000F, ANSISOP,;UNIDAD DE PROCESAMIENTO;;;EVALUACION EXPERIMENTAL CON PEAD 7000F PROGRAMA ANSISOP. INFORME FINAL;INFORME TECNICO;1992;EVALUACION EXPERIMENTAL CON PEAD 7000F PROGRAMA ANSISOP. INFORME FINAL;INFORMES/PLASTILAGO/1992/IN06192.PDF;
PTG06292;PLASTILAGO;PTG-I-05;LABORATORIO, CATALISIS, ZIEGLER NATTA, SISTEMA, CONTROL, INSTRUMENTACION,;MORENO, EULOMAR;;;LABORATORIO DE CATALISIS ZIEGLER NATTA. SELECCION DE SISTEMA DE CONTROL E INSTRUMENTACION;INFORME TECNICO;1992;LABORATORIO DE CATALISIS ZIEGLER NATTA. SELECCION DE SISTEMA DE CONTROL E INSTRUMENTACION;INFORMES/PLASTILAGO/1992/IN06292.PDF;
PTG06392;PLASTILAGO;PTG-S-02-01;SUSTITUCION, BHT, PEAD,  ALTAVEN,;CAPRIULO, FRANCESCO;;;SUSTITUCION DEL BHT EN LOS PEAD ALTAVEN;INFORME TECNICO;1992;SUSTITUCION DEL BHT EN LOS PEAD ALTAVEN;INFORMES/PLASTILAGO/1992/IN06392.PDF;
PTG06492;PLASTILAGO;PTG-S-02-01;EVALUACION, MATERIALES,  HOMOTIPOS, PELICULA, PEAD, ALTAVEN, 7000F,;UNIDAD DE PROCESAMIENTO;;;EVALUACION DE MATERIALES HOMOTIPOS DE PELICULA PEAD ALTAVEN 7000F;INFORME TECNICO;1992;EVALUACION DE MATERIALES HOMOTIPOS DE PELICULA PEAD ALTAVEN 7000F;INFORMES/PLASTILAGO/1992/IN06492.PDF;
PTG06592;PLASTILAGO;PTG-S-02;HOJAS TECNICAS, ALTAVEN,;UNIDAD DE ANALISIS TERMOMECANICOS;;;HOJAS TECNICAS ALTAVEN. INFORME FINAL;INFORME TECNICO;1992;HOJAS TECNICAS ALTAVEN. INFORME FINAL;INFORMES/PLASTILAGO/1992/IN06592.PDF;
PTG06692;PLASTILAGO;PTG-S-02;COMPARACION, PEAD, PP, GRADOS, INYECCION,;BERMUDEZ, ANTONIO;;;COMPARACION ENTRE PEAD Y PP GRADOS PARA INYECCION;INFORME TECNICO;1992;COMPARACION ENTRE PEAD Y PP GRADOS PARA INYECCION;INFORMES/PLASTILAGO/1992/IN06692.PDF;
PTG06792;PLASTILAGO;PTG-S-02-01;PROPIEDADES, IMPACTO, CAJAS INYECTADAS IBERPLASS,;UNIDAD DE ANALISIS TERMOMECANICOS;;;PROPIEDADES DE IMPACTO DE CAJAS INYECTADAS (ASISTENCIA A IBERPLASS, BOGOTA);INFORME TECNICO;1992;PROPIEDADES DE IMPACTO DE CAJAS INYECTADAS (ASISTENCIA A IBERPLASS, BOGOTA);INFORMES/PLASTILAGO/1992/IN06792.PDF;
PTG06892;PLASTILAGO;PTG-S-02-01;CONDICIONES, SOPLADO,  PROPIEDADES, BOTELLAS, PEAD, ALTAVEN,;CAPRIULO, FRANCESCO;;;INFLUENCIA DE LAS CONDICIONES DE SOPLADO EN LAS PROPIEDADES DE BOTELLAS DE PEAD ALTAVEN;INFORME TECNICO;1992;INFLUENCIA DE LAS CONDICIONES DE SOPLADO EN LAS PROPIEDADES DE BOTELLAS DE PEAD ALTAVEN;INFORMES/PLASTILAGO/1992/IN06892.PDF;
PTG06992;PLASTILAGO;PTG-S-02-01;PROPIEDADES TERMICAS, PEAD,  POLIALDEN,;UNIDAD DE TRANSFORMACION;;;PROPIEDADES TERMICAS DEL PEAD POLIALDEN;INFORME TECNICO;1992;PROPIEDADES TERMICAS DEL PEAD POLIALDEN;INFORMES/PLASTILAGO/1992/IN06992.PDF;
PTG07092;PLASTILAGO;PTG-S-02-01;EVALUACION COMPARATIVA,  PEAD, EXTRUSION,;SECCION DE TRANSFORMACION;;;EVALUACION COMPARATIVA DE PEAD GRADO EXTRUSION;;1992;EVALUACION COMPARATIVA DE PEAD GRADO EXTRUSION;INFORMES/PLASTILAGO/1992/IN07092.PDF;
PTG07192;PLASTILAGO;PTG-S-02-01;DESARROLLO, METODO, VISCOSIDAD,  POLIMEROS FUNDIDOS, REOMETRIA CAPILAR, METODO, COGSWELL,;SECCION DE TRANSFORMACION;;;DESARROLLO DEL METODO PARA DETERMINAR LA VISCOSIDAD EN EXTENSION DE POLIMEROS FUNDIDOS UTILIZANDO LA TECNICA DE REOMETRIA CAPILAR Y EL METODO DE COGSWELL;INFORME TECNICO;1992;DESARROLLO DEL METODO PARA DETERMINAR LA VISCOSIDAD EN EXTENSION DE POLIMEROS FUNDIDOS UTILIZANDO LA TECNICA DE REOMETRIA CAPILAR Y EL METODO DE COGSWELL;INFORMES/PLASTILAGO/1992/IN07192.PDF;
PTG07292;PLASTILAGO;PTG;PEAD, DISTRIBUCION DE PESOS MOLECULARES, BIMODAL,;CIT;;;POLIETILENOS DE ALTA DENSIDAD CON DISTRIBUCION DE PESOS MOLECULARES BIMODAL;INFORME TECNICO;1992;POLIETILENOS DE ALTA DENSIDAD CON DISTRIBUCION DE PESOS MOLECULARES BIMODAL;INFORMES/PLASTILAGO/1992/IN07292.PDF;
PTG07393;PLASTILAGO;PTG-I-01;GEOMEMBRANAS, PEAD, ALTAVEN, 6200B,;CAPRIULO, FRANCESCO;;;EVALUACION DE GEOMEMBRANAS ELABORADAS CON PEAD ALTAVEN 6200B;INFORME TECNICO;1993;DETERMINAR LAS PROPIEDADES FISICAS DE GEOMEMBRANAS ELABORADAS CON PEAD ALTAVEN 6200B, FABRICADAS EN LA EMPRESA TRICAL.;INFORMES/PLASTILAGO/1993/IN07393.PDF;
